"ANO_ELEICAO","DESCRICAO_UE","SIGLA_PARTIDO","NOME_PARTIDO","CODIGO_SEXO","DESC_SIT_TOT_TURNO","QTDE_VOTOS"
"2008","RIO RUFINO","DEM","DEMOCRATAS","2","ELEITO","950"
"2008","SÃO JOSÉ DA BELA VISTA","DEM","DEMOCRATAS","2","NÃO ELEITO","56"
"2008","ALTINHO","DEM","DEMOCRATAS","2","NÃO ELEITO","5710"
"2008","ITAGI","DEM","DEMOCRATAS","2","NÃO ELEITO","3931"
"2008","AMARGOSA","DEM","DEMOCRATAS","2","NÃO ELEITO","7620"
"2008","URUANA DE MINAS","DEM","DEMOCRATAS","2","NÃO ELEITO","1075"
"2008","RIO LARGO","DEM","DEMOCRATAS","2","NÃO ELEITO","10013"
"2008","ITABUNA","DEM","DEMOCRATAS","2","ELEITO","52187"
"2008","VISTA ALEGRE DO PRATA","DEM","DEMOCRATAS","2","NÃO ELEITO","677"
"2008","ITAMOGI","DEM","DEMOCRATAS","2","ELEITO","3890"
"2008","CACHOEIRA DE GOIÁS","DEM","DEMOCRATAS","2","ELEITO","786"
"2008","GALINHOS","DEM","DEMOCRATAS","2","ELEITO","1220"
"2008","ERVAL VELHO","DEM","DEMOCRATAS","2","NÃO ELEITO","1061"
"2008","IPECAETÁ","DEM","DEMOCRATAS","2","NÃO ELEITO","457"
"2008","VÁRZEA GRANDE","DEM","DEMOCRATAS","2","NÃO ELEITO","45688"
"2008","DOURADINA","DEM","DEMOCRATAS","2","NÃO ELEITO","1197"
"2008","QUINJINGUE","DEM","DEMOCRATAS","2","ELEITO","7593"
"2008","CAMAPUÃ","DEM","DEMOCRATAS","2","ELEITO","6148"
"2008","SÍTIO DO QUINTO","DEM","DEMOCRATAS","2","NÃO ELEITO","3126"
"2008","ITANHOMI","DEM","DEMOCRATAS","2","REGISTRO NEGADO ANTES DA ELEIÇÃO","2893"
"2008","ANTÔNIO PRADO DE MINAS","DEM","DEMOCRATAS","2","ELEITO","897"
"2008","CARMOLÂNDIA","DEM","DEMOCRATAS","2","NÃO ELEITO","903"
"2008","SÃO JOÃO DO PARAÍSO","DEM","DEMOCRATAS","2","NÃO ELEITO","5045"
"2008","IBIRATAIA","DEM","DEMOCRATAS","2","ELEITO","5973"
"2008","COSTA RICA","DEM","DEMOCRATAS","2","NÃO ELEITO","4623"
"2008","RIBEIRÃO CASCALHEIRA","DEM","DEMOCRATAS","2","NÃO ELEITO","2071"
"2008","ERVÁLIA","DEM","DEMOCRATAS","2","ELEITO","6527"
"2008","ALUMÍNIO","DEM","DEMOCRATAS","2","NÃO ELEITO","3192"
"2008","DOURADOS","DEM","DEMOCRATAS","2","NÃO ELEITO","70906"
"2008","SÃO BERNARDINO","DEM","DEMOCRATAS","2","ELEITO","963"
"2008","ITUETA","DEM","DEMOCRATAS","2","ELEITO","2668"
"2008","BAIXA GRANDE DO RIBEIRO","DEM","DEMOCRATAS","2","ELEITO","2777"
"2008","NOVO HORIZONTE DO SUL","DEM","DEMOCRATAS","4","NÃO ELEITO","1356"
"2008","IBIAÍ","DEM","DEMOCRATAS","2","NÃO ELEITO","166"
"2008","GUIA LOPES DA LAGUNA","DEM","DEMOCRATAS","2","NÃO ELEITO","2654"
"2008","POÇO DAS ANTAS","DEM","DEMOCRATAS","2","ELEITO","869"
"2008","IOMERÊ","DEM","DEMOCRATAS","2","ELEITO","1162"
"2008","RODOLFO FERNANDES","DEM","DEMOCRATAS","4","ELEITO","1938"
"2008","BARCELONA","DEM","DEMOCRATAS","2","NÃO ELEITO","1585"
"2008","MATEIROS","DEM","DEMOCRATAS","2","NÃO ELEITO","463"
"2008","PONTAL DO ARAGUAIA","DEM","DEMOCRATAS","2","ELEITO","1609"
"2008","PATO BRAGADO","DEM","DEMOCRATAS","2","NÃO ELEITO","1535"
"2008","FAZENDA RIO GRANDE","DEM","DEMOCRATAS","2","NÃO ELEITO","1785"
"2008","VIEIRAS","DEM","DEMOCRATAS","2","NÃO ELEITO","1403"
"2008","ARROIO TRINTA","DEM","DEMOCRATAS","2","ELEITO","1340"
"2008","DÁRIO MEIRA","DEM","DEMOCRATAS","2","REGISTRO NEGADO ANTES DA ELEIÇÃO","2611"
"2008","DOM MACEDO COSTA","DEM","DEMOCRATAS","2","ELEITO","1744"
"2008","VIANA","DEM","DEMOCRATAS","2","NÃO ELEITO","14015"
"2008","JOAQUIM FELÍCIO","DEM","DEMOCRATAS","2","NÃO ELEITO","911"
"2008","CÂNDIDO SALES","DEM","DEMOCRATAS","2","REGISTRO NEGADO ANTES DA ELEIÇÃO","7748"
"2008","CRISTALINA","DEM","DEMOCRATAS","2","ELEITO","11380"
